排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
321,5907,F-大洋,上市,20.2,113,3,貿易百貨業,長原彰弘
322,6803,崑鼎,上櫃,6.5,112,5,其他業,林俊華
323,1201,味全,上市,50.6,111,53.3,食品工業,李鳳翱
324,3662,樂陞,上櫃,8.5,111,6,資訊服務業,許金龍
325,3380,明泰,上市,49.2,110,10.4,通信網路業,李中旺
326,4152,台微體,上櫃,5.55,110,2.4,生技醫療業,洪基隆
327,3443,創意,上市,13.4,110,8.6,半導體業,曾繁城
328,3019,亞光,上市,28.1,109,12.7,光電業,賴以仁
329,3452,益通,上櫃,77.9,109,9.2,光電業,徐信群
330,5508,永信建,上櫃,18.1,109,17,建材營造業,陳俊銘
331,2908,特力,上市,51.4,108,22.3,貿易百貨業,李麗秋
332,3211,順達,上櫃,15.2,108,10.5,電腦及週邊設備業,鍾聰明
333,1103,嘉泥,上市,77.7,107,45.5,水泥工業,張剛綸
334,1909,榮成,上市,83.7,106,29.5,造紙工業,鄭瑛彬
335,6278,台表科,上市,28.1,106,4.7,光電業,伍開雲
336,8131,福懋科,上市,44.2,106,7.5,半導體業,王文淵
337,6452,F-康友,上市,6.5,105,0.2,生技醫療業,黃文烈
338,1451,年興,上市,40,105,22.4,紡織纖維,陳朝國
339,6277,宏正,上市,11.9,105,11.6,電腦及週邊設備業,陳尚仲
340,5349,先豐,上櫃,22.4,105,16.9,電子零組件業,鄭文鋒
341,2228,劍麟,上市,7.17,104,1.5,電機機械,黃正怡
342,2108,南帝,上市,41.5,104,22.6,橡膠工業,楊東源
343,5009,榮剛,上櫃,45.1,104,16.6,鋼鐵工業,陳興時
344,1558,伸興,上市,6.06,103,0.4,電機機械,林志誠
345,2731,雄獅,上市,7,102,1.7,觀光事業,王文傑
346,2704,國賓,上市,36.7,101,32.5,觀光事業,許育瑞
347,6257,矽格,上市,36.3,101,11.7,半導體業,黃興陽
348,1444,力麗,上市,95.7,101,24.8,紡織纖維,郭紹儀
349,2492,華新科,上市,68.3,99.7,13.7,電子零組件業,焦佑衡
350,3260,威剛,上櫃,23,99.7,10.6,半導體業,陳立白
351,4128,中天,上櫃,42.5,99.5,9,生技醫療業,林衛理
352,1785,光洋科,上櫃,40.9,99.5,10.3,其他電子業,陳李賀
353,1308,亞聚,上市,47,99.1,28.9,塑膠工業,吳亦圭
354,2401,凌陽,上市,59.2,98.6,15.3,半導體業,黃洲杰
355,2524,京城,上市,37.6,98.5,20.6,建材營造業,蔡天贊
356,5478,智冠,上櫃,12.7,98.2,14.1,資訊服務業,王俊博
357,1338,F-廣華,上市,8.38,98.1,2.4,汽車工業,余澤民
358,3026,禾伸堂,上市,22.4,98.1,12.7,電子零組件業,唐錦榮
359,2851,中再保,上市,56.2,97.3,14.9,保險業,楊誠對
360,2455,全新,上市,24.7,97.3,13.3,通信網路業,陳懋常
361,1903,士紙,上市,26,96.9,51.5,造紙工業,陳柏廷
362,2332,友訊,上市,64.8,96.8,20.6,通信網路業,云瑋投資(股)公司
363,3703,欣陸,上市,88.3,96.3,5.1,建材營造業,殷琪
364,4426,利勤,上市,7.66,95.8,3.4,紡織纖維,洪文耀
365,2323,中環,上市,258,95.5,23.3,光電業,翁明顯
366,2485,兆赫,上市,31.8,95.1,13.7,通信網路業,黃啟瑞
367,5434,崇越,上市,15.8,95.1,11.7,電子通路業,潘重良
368,1460,宏遠,上市,47.1,94.7,20.1,紡織纖維,席家宜
369,9802,F-鈺齊,上市,13.2,94.5,2.6,其他業,林文智
370,2062,橋椿,上市,16.3,94.3,7.5,其他業,楊慶祺
371,1110,東泥,上市,57.2,93.8,20.6,水泥工業,陳敏斷
372,8349,恒耀,上櫃,9.15,93.4,9.2,鋼鐵工業,吳榮彬
373,3017,奇鋐,上市,35.3,92.4,12.7,電腦及週邊設備業,沈慶行
374,1582,信錦,上市,15,92.3,5.4,電子零組件業,陳秋郎
375,9905,大華,上市,30.5,92.3,24.8,其他業,姜靜宜
376,2316,楠梓電,上市,31.9,92.2,24.3,電子零組件業,徐漢忠
377,2368,金像電,上市,56.5,91.8,17.2,電子零組件業,楊長基
378,5512,力麒,上櫃,75.4,91.6,16.5,建材營造業,郭淑珍
379,1560,中砂,上市,14.1,91.2,10.3,電機機械,林陳滿麗
380,2328,廣宇,上市,51.8,91,21.5,電子零組件業,盧松發
381,2014,中鴻,上市,144,90.9,23.3,鋼鐵工業,黃宗英
382,5269,祥碩,上市,5.71,90.8,2.4,半導體業,沈振來
383,8039,台虹,上市,20.4,90.8,5.4,電子零組件業,孫達汶
384,1447,力鵬,上市,87.1,90.6,23.3,紡織纖維,郭紹儀
385,1513,中興電,上市,42,90.5,21.2,電機機械,江義福
386,2499,東貝,上市,32.1,90.4,13.3,光電業,吳慶輝
387,2034,允強,上市,37,89.9,13.7,鋼鐵工業,張清課
388,8255,朋程,上櫃,7.49,89.8,9.1,電機機械,盧明光
389,1535,中宇,上市,12.4,89.8,13.7,電機機械,林弘男
390,9943,好樂迪,上市,14.7,89.6,12.7,觀光事業,顏瓊章
391,2841,台開,上市,66.2,89.4,16.4,建材營造業,邱復生
392,2539,櫻花建,上市,23.9,89.1,17.9,建材營造業,陳正釭
393,2536,宏普,上市,33.3,88.5,19.2,建材營造業,段津華
394,9951,皇田,上櫃,7.49,88.4,11.4,電機機械,周幼珊
395,2597,潤弘,上市,13.5,87.9,5.2,建材營造業,賴士勳
396,6153,嘉聯益,上市,32.5,87.7,7.3,電子零組件業,蔡長穎
397,3607,谷崧,上市,11.9,87.4,5.6,電子零組件業,洪煥青
398,2456,奇力新,上市,12.7,87.4,13.7,電子零組件業,陳泰銘
399,2374,佳能,上市,47.3,87,20.3,光電業,曾明仁
400,5203,訊連,上市,10,86.9,10.7,資訊服務業,黃肇雄
401,8936,國統,上櫃,18.7,85.8,12.7,其他業,梁家源
402,8215,明基材,上市,32.1,85.6,4.5,光電業,陳建志
403,1580,新麥,上櫃,4.76,85.2,7.4,電機機械,謝順和
404,1310,台苯,上市,52.8,85,27.8,塑膠工業,林文淵
405,2832,台產,上市,36.4,85,17.6,保險業,李泰宏
406,2706,第一店,上市,39.2,84.9,23.9,觀光事業,顧安生
407,9942,茂順,上市,8.32,84.8,13.3,其他業,石正復
408,1340,F-勝悅,上市,8.84,84.4,1.5,塑膠工業,莊國清
409,5490,同亨,上櫃,9.44,83.9,14,電腦及週邊設備業,張永銘
410,3406,玉晶光,上市,9.98,83.9,9.4,光電業,陳天慶
411,2404,漢唐,上市,23.8,83.7,15.2,其他電子業,陳朝水
412,3490,單井,上櫃,6.23,83.5,7.6,光電業,王祥亨
413,2349,錸德,上市,261,82.6,19.1,光電業,葉進泰
414,2345,智邦,上市,53.4,82.2,19.5,通信網路業,李炎松
415,2929,F-淘帝,上市,5.81,82.2,1.4,貿易百貨業,周訓財
416,3611,鼎翰,上櫃,3.46,82.1,6.5,電腦及週邊設備業,王秀亭
417,3059,華晶科,上市,27,81.6,12.4,光電業,夏汝文
418,6188,廣明,上櫃,27.8,81.1,12.7,電腦及週邊設備業,林百里
419,1714,和桐,上市,95.9,81.1,23.7,化學工業,楊猷傑
420,9927,泰銘,上市,20.9,80.7,16.2,其他業,陳豊明
421,2497,怡利電,上市,11.9,80.5,13.3,其他電子業,陳錫蒼
422,6261,久元,上櫃,12.7,80.5,11.1,半導體業,汪秉龍
423,4743,合一,上櫃,17.8,80.5,3.7,生技醫療業,柯逢年
424,2402,毅嘉,上市,34.2,80,15.4,電子零組件業,黃秋永
425,2612,中航,上市,25.6,79.9,20.6,航運業,彭蔭剛
426,1321,大洋,上市,22.7,79.9,16.3,塑膠工業,陳欽明
427,5356,協益,上櫃,12.9,79.6,16.8,電腦及週邊設備業,蕭敏志
428,2102,泰豐,上市,45.7,79.1,35.9,橡膠工業,馬述健
429,5305,敦南,上市,31.5,78.9,10.8,半導體業,宋恭源
430,2538,基泰,上市,41,78.5,18.6,建材營造業,陳世銘
431,1614,三洋電,上市,26.9,78.3,17.7,電器電纜,李文峰
432,2617,台航,上市,41.7,77.6,16.9,航運業,張義源
433,1583,程泰,上市,10,77.5,7.3,電機機械,楊德華
434,4103,百略,上櫃,11,77,14.1,生技醫療業,林金源
435,4947,F-昂寶,上櫃,4.47,76.9,3.6,半導體業,李朝福
436,9924,福興,上市,18.8,76.4,20.2,其他業,林瑞章
437,6230,超眾,上市,8.63,76.4,4.7,電腦及週邊設備業,吳宗
438,2910,統領,上市,20.9,76.1,18.4,貿易百貨業,蘇建義
439,1455,集盛,上市,61.2,75.6,21.6,紡織纖維,葉守焞
440,2850,新產,上市,31.6,75.5,15,保險業,吳昕紘
441,6213,聯茂,上市,31.8,75.5,7.3,電子零組件業,蔡茂禎
442,8429,F-金麗,上市,12.1,75.5,2.4,貿易百貨業,庄春龍
443,5274,信驊,上櫃,2.63,75.5,2.1,半導體業,林鴻明
444,6115,鎰勝,上市,17.8,75.3,10.8,電子零組件業,黃子成
445,2475,華映,上市,648,75.2,13.7,光電業,林蔚山
446,5471,松翰,上市,16.8,75.1,11.7,半導體業,陳賢哲
447,3437,榮創,上市,14.7,74.6,0.9,光電業,莊宏仁
448,4906,正文,上市,30.6,74.5,11.9,通信網路業,陳鴻文
449,4306,炎洲,上市,51.3,74.3,7.3,塑膠工業,李志賢
450,3062,建漢,上市,33,74.3,11.8,通信網路業,陳澤燦
451,6184,大豐電,上市,14,74,10.3,其他業,戴永輝
452,2010,春源,上市,64.8,73.8,25.4,鋼鐵工業,李文隆
453,4141,F-龍燈,上市,15.2,73.6,3.1,生技醫療業,羅昌庚
454,8050,廣積,上櫃,10.9,73.5,11.6,電腦及週邊設備業,林秋旭
455,9926,新海,上市,16.7,73.3,17.1,油電燃氣業,丁守真
456,2420,新巨,上市,15.3,73.3,14.7,電子零組件業,周進文
457,5351,鈺創,上櫃,43.7,73,17,半導體業,盧超群
458,3293,鈊象,上櫃,6.97,72.5,8.9,資訊服務業,李柯柱
459,3234,光環,上櫃,10.4,72.4,4.2,通信網路業,劉勝先
460,4107,邦特,上櫃,8.54,72.2,13.2,生技醫療業,蔡宗禮
461,1808,潤隆,上市,21.5,71.9,20.6,建材營造業,蔡聰賓
462,1708,東鹼,上市,17.4,71.9,28.9,化學工業,錢蔭範
463,3515,華擎,上市,11.5,71.8,7.5,電腦及週邊設備業,徐世昌
464,3356,奇偶,上市,7,71.7,10.2,光電業,戴光正
465,1715,萬洲,上市,39.8,71.7,22.4,塑膠工業,李志賢
466,1604,聲寶,上市,52.5,71.7,44.4,電器電纜,財團法人陳茂榜工商發展基金會
467,2351,順德,上市,18.2,71.6,19.1,半導體業,陳朝雄
468,8070,長華,上市,7.7,71.6,7.4,電子通路業,黃嘉能
469,1521,大億,上市,7.62,71.4,17.6,電機機械,吳俊億
470,2836,高雄銀,上市,74,71.4,17,銀行業,陳統民
471,2340,光磊,上市,54.6,70.4,20.1,光電業,黃勇強
472,2367,燿華,上市,56.6,70.2,17.4,電子零組件業,張元銘
473,6177,達麗,上市,17.1,69.9,1.8,建材營造業,謝志長
474,2114,鑫永銓,上市,6.75,69.9,4.4,橡膠工業,林季進
475,8081,致新,上市,8.62,69.9,6.4,半導體業,謝南強
476,5425,台半,上櫃,23.9,69.8,15.2,半導體業,王秀亭
477,3704,合勤控,上市,48.7,69.8,4.8,通信網路業,朱順一
478,5608,四維航,上市,40.3,69.8,11.7,航運業,藍俊德
479,2926,誠品生,上櫃,4.51,69.3,2.3,貿易百貨業,吳清友
480,3514,昱晶,上市,40.8,69.1,7.6,光電業,潘文炎
481,6192,巨路,上市,11.9,69,10.7,其他電子業,林建國
482,1773,勝一,上市,15,68.6,6.2,化學工業,孫靜源
483,2505,國揚,上市,50.4,68.5,35.5,建材營造業,林子寬
484,6223,旺矽,上櫃,7.96,68.5,12.4,半導體業,陳四桂
485,2029,盛餘,上市,32.1,68.4,18.4,鋼鐵工業,大森真
486,1339,昭輝,上市,7.59,68,3.1,塑膠工業,林詩芸
487,5213,亞昕,上櫃,38.2,67.6,12.1,建材營造業,姚連地
488,1215,卜蜂,上市,24.4,67.5,27.8,食品工業,鄭武樾
489,6189,豐藝,上市,17.9,67.3,11,電子通路業,陳澄芳
490,2406,國碩,上市,30.7,67.2,15.1,光電業,陳繼明
491,2433,互盛電,上市,14.4,67,14.7,其他電子業,賀俊強
492,4164,承業醫,上市,13,66.8,2.6,生技醫療業,李沛霖
493,1264,德麥,上櫃,3.06,66.2,0.1,食品工業,林雪嬌
494,5392,應華,上櫃,9.14,66.1,15.9,光電業,董俊仁
495,4526,東台,上市,25.1,66,11.7,電機機械,嚴瑞雄
496,3519,綠能,上市,41.4,65.9,7.3,半導體業,林蔚山
497,3561,昇陽科,上市,37.2,64.8,6.5,光電業,劉康信
498,1527,鑽全,上市,15.3,64.4,14.9,電機機械,賴明達先生
499,4725,信昌化,上市,29.2,64.2,7.6,化學工業,辜成允
500,3049,和鑫,上市,117,63.6,12.7,光電業,焦佑麒
501,3653,健策,上市,10.7,63.6,5.5,電子零組件業,趙宗信
502,2614,東森,上市,69.6,63.5,19.7,貿易百貨業,廖尚文
503,5457,宣德,上櫃,16.8,63.3,14.6,電子零組件業,蔡建偉
504,6281,全國電,上市,9.92,63.3,9.5,電子通路業,林琦敏
505,6197,佳必琪,上市,17.3,63,10.5,電子零組件業,張舒眉
506,3033,威健,上市,27,63,12.7,電子通路業,胡秋江
507,5289,宜鼎,上櫃,5.92,62.7,1.5,電腦及週邊設備業,李鐘亮
508,2387,精元,上市,36.4,62.4,16.3,電腦及週邊設備業,蔡火爐
509,9911,櫻花,上市,27.6,61.9,22.8,其他業,張永杰
510,8917,欣泰,上櫃,12.2,61.7,16,油電燃氣業,林振英
511,6274,台燿,上櫃,24.1,61.7,11.4,電子零組件業,辛忠道
512,4736,泰博,上櫃,6.83,61.4,4.5,生技醫療業,陳朝旺
513,9918,欣天然,上市,18.1,61.4,21.1,油電燃氣業,陳何家
514,3266,昇陽,上市,35.2,61.3,0.4,建材營造業,麥寬成
515,6180,橘子,上櫃,15.8,61.1,13,資訊服務業,劉柏園
516,5243,F-乙盛,上市,18.1,61.1,1.5,光電業,戴正吳
517,3596,智易,上市,18.9,61.1,6.2,通信網路業,陳瑞聰
518,4935,F-茂林,上市,14,61,3.8,光電業,李滿祥
519,3041,揚智,上市,30.3,60.6,12.7,半導體業,林申彬
520,6224,聚鼎,上市,8,60.6,5.7,電子零組件業,朱復華
521,8083,瑞穎,上櫃,3.51,60.4,10.7,電機機械,陳柏峰
522,4416,三圓,上櫃,6,60.3,15,建材營造業,王光祥
523,8163,達方,上市,31.9,60.1,7.5,電腦及週邊設備業,李錫華
524,1522,堤維西,上市,31.3,59.9,17.6,電機機械,吳俊佶
525,5227,F-立凱,上櫃,16.5,59.7,1.5,電子零組件業,張聖時
526,2701,萬企,上市,37.9,59.5,50.2,觀光事業,蔡茂昌
527,1701,中化,上市,29.8,59.3,53.3,生技醫療業,王勳聖
528,3149,正達,上市,26.9,59.3,3.5,光電業,鍾志明
529,3088,艾訊,上櫃,7.88,59.2,10.1,電腦及週邊設備業,楊裕德
530,2436,偉詮電,上市,22.1,59.1,14.7,半導體業,林錫銘
531,2729,瓦城,上櫃,2.33,59.1,2.7,觀光事業,徐承義
532,4198,環瑞醫,上櫃,15.1,59,0.4,生技醫療業,李祖德
533,6145,勁永,上市,32.6,58.9,11.7,電子通路業,郭台強
534,8411,F-福貞,上市,15.2,58.8,3.6,其他業,李榮福
535,3504,揚明光,上市,11.4,58.7,8.3,光電業,莊謙信
536,8404,F-百和,上市,22.3,58.7,4,其他業,鄭國火因
537,4979,華星光,上櫃,6.72,58.6,3.4,通信網路業,龔行憲
538,4919,新唐,上市,20.8,58.5,4.7,半導體業,焦佑鈞
539,1608,華榮,上市,63.3,58.3,26.9,電器電纜,吳賢明
540,1720,生達,上市,17.9,58.2,19.4,生技醫療業,范進財
541,3454,晶睿,上市,7.4,57.8,3.8,光電業,陳文昌
542,1109,信大,上市,42.1,57.7,23.5,水泥工業,楊德雄
543,1203,味王,上市,24,57.2,50.7,食品工業,穎川建忠
544,1709,和益,上市,43,57.2,28.9,化學工業,黃勝材
545,2527,宏璟,上市,27,57.2,20.2,建材營造業,簡文祥
546,3003,健和興,上市,15.4,57.1,13.3,電子零組件業,鄭克彬
547,3693,營邦,上櫃,3.83,57,1.5,電腦及週邊設備業,梁順營
548,4163,鐿鈦,上櫃,4.02,56.9,2.5,生技醫療業,蔡永芳
549,3520,振維,上櫃,5.13,56.9,7.6,電子零組件業,吳靜翊
550,2390,云辰,上市,21.5,56.8,15.9,其他電子業,張姿玲
551,1305,華夏,上市,46.8,56.4,42.2,塑膠工業,吳亦圭
552,6104,創惟,上櫃,8.97,56.1,14,半導體業,王國肇
553,5489,彩富,上櫃,10.4,56,14.2,其他電子業,陳春生
554,4142,國光生,上市,23.7,55.8,3.1,生技醫療業,詹啟賢
555,2506,太設,上市,38.7,55.7,35.3,建材營造業,章啟光
556,2109,華豐,上市,32.6,55.7,15,橡膠工業,蘇明芬
557,8234,新漢,上櫃,13.9,55.6,8,電腦及週邊設備業,林茂昌
558,4927,F-泰鼎,上櫃,12.3,55.4,3.6,電子零組件業,王樹木
559,4104,佳醫,上市,11.3,55.3,7.4,生技醫療業,傅輝東
560,4120,友華,上櫃,8.67,55.3,11.5,生技醫療業,蔡正弘
561,1712,興農,上市,34.4,55.2,25.4,化學工業,楊文彬
562,2601,益航,上市,37.8,54.9,49.5,貿易百貨業,長原彰弘
563,6105,瑞傳,上櫃,10.6,54.8,14.1,電腦及週邊設備業,官志凱
564,3265,台星科,上櫃,13.6,54.8,9.8,半導體業,翁志立
565,1442,名軒,上市,22.1,54.6,25.5,建材營造業,吳泓瑩
566,3014,聯陽,上市,15.8,54.5,12.6,半導體業,胡鈞陽
567,3498,陽程,上櫃,7.7,54.5,7.7,其他電子業,黃秋逢
568,1315,達新,上市,19.8,54.4,23,塑膠工業,吳子聰
569,2428,興勤,上市,12.7,54.2,14.7,電子零組件業,隋台中
570,3501,維熹,上市,11.6,54.1,7.7,電子零組件業,吳瑞雄
571,5466,泰林,上櫃,22,54,14.6,半導體業,卓連發
572,4528,江興鍛,上櫃,7.65,53.9,14.3,電機機械,江木山
573,6016,康和證,上櫃,68.8,53.8,18.5,證券業,周康記
574,1464,得力,上市,21.7,53.8,18.3,紡織纖維,葉家銘
575,2816,旺旺保,上市,21.3,53.8,23,保險業,洪吉雄
576,6702,興航,上市,55.4,53.8,3.6,航運業,林明昇
577,8210,勤誠,上市,12,53.5,3.5,電腦及週邊設備業,陳美琪
578,6107,華美,上櫃,5.9,53.3,13.9,電子零組件業,楊名衡
579,1337,F-再生,上市,25,53.2,3.9,塑膠工業,丁金造
580,5312,寶島科,上櫃,6.01,52.9,19,其他業,蔡國彬
581,8427,F-基勝,上市,10.6,52.8,3.5,其他業,劉宗信
582,4144,F-康聯,上市,7.81,52.7,3.6,生技醫療業,威廉凱樂
583,2464,盟立,上市,18.3,52.5,13.7,其他電子業,孫弘
584,5538,F-東明,上市,16.8,52.4,1.4,鋼鐵工業,蔡清東
585,3130,一零四,上市,3.31,52.3,9.3,資訊服務業,楊基寬
586,5533,皇鼎,上市,25.6,52.3,7.1,建材營造業,劉信雄
587,1815,富喬,上櫃,40.4,52.2,9.3,電子零組件業,張元賓
588,5469,瀚宇博,上市,45.5,51.9,11.7,電子零組件業,焦佑衡
589,4130,健亞,上櫃,10.1,51.9,3.4,生技醫療業,梁榮江
590,2397,友通,上市,11.5,51.9,15.4,電腦及週邊設備業,呂衍奇
591,2013,中鋼構,上市,20,51.7,23.3,鋼鐵工業,陳明漢
592,8110,華東,上市,50.1,51.6,7.6,半導體業,焦佑衡
593,9946,三發,上市,20.6,51.6,1.7,建材營造業,鍾俊榮
594,1525,江申,上市,6.92,51.5,16,電機機械,簡清隆
595,1734,杏輝,上市,16.1,51.1,12.7,生技醫療業,李志文
596,2472,立隆電,上市,15.4,50.9,13.7,電子零組件業,吳德銓
597,2540,愛山林,上市,14.7,50.8,25.4,建材營造業,祝文宇
598,1459,聯發,上市,35.9,50.7,20.6,紡織纖維,葉清澤
599,5301,寶得利,上櫃,8.4,50.6,24.9,貿易百貨業,張雅琍
600,4746,台耀,上市,8.51,50.1,4.2,生技醫療業,程正禹
601,2530,華建,上市,27.1,50,19.6,建材營造業,林文亮
602,2421,建準,上市,25.1,49.7,14.7,電子零組件業,洪銀樹
603,2031,新光鋼,上市,27.9,49.6,14.7,鋼鐵工業,粟明德
604,1416,廣豐,上市,29.3,49.6,39.1,紡織纖維,賀鳴玉
605,3617,碩天,上市,8.06,49.6,5.4,其他電子業,郭瑾
606,1231,聯華食,上市,14.8,49.5,19.6,食品工業,李開源
607,2481,強茂,上市,38.8,49.5,13.7,半導體業,方敏清
608,8261,富鼎,上市,18.2,49.4,5.4,半導體業,鄧富吉
609,2430,燦坤,上市,16.7,49.4,14.7,電子通路業,閻俊傑
610,1256,F-鮮活,上櫃,2.47,49.4,2.7,食品工業,黃國晃
611,1733,五鼎,上市,9.85,49.4,13.7,生技醫療業,沈燕士
612,3015,全漢,上市,23.4,49.2,12.6,電子零組件業,王宗舜
613,1737,臺鹽,上市,20,49.2,11.5,食品工業,楊秋興
614,6143,振曜,上櫃,8.33,49.1,13.3,通信網路業,呂俊德
615,8908,欣雄,上櫃,12.4,49,18.3,油電燃氣業,朱坤塗
616,9934,成霖,上市,35.4,48.9,14.7,其他業,歐陽明
617,3048,益登,上市,17.6,48.6,12.6,電子通路業,曾禹旖
618,4119,旭富,上市,6.97,48.4,11.4,生技醫療業,翁維駿
619,4745,F-合富,上櫃,5.63,48.4,2.3,生技醫療業,王瓊芝
620,3078,僑威,上櫃,22.7,48.1,10.3,電子零組件業,潘君威
621,2369,菱生,上市,38,47.9,17.1,半導體業,葉樹泉
622,3083,網龍,上櫃,8.57,47.8,11.5,資訊服務業,王俊博
623,5288,F-豐祥,上市,6.45,47.8,0.7,電機機械,游明輝
624,3645,達邁,上市,11.7,47.7,3.6,電子零組件業,鄧維楨
625,8437,F-大地,上櫃,3.26,47.2,0,其他業,程釱坤
626,8042,金山電,上櫃,10.5,47.2,11.2,電子零組件業,江士勳
627,3685,政翔,上櫃,8,46.9,4.5,光電業,李昭霈
628,1219,福壽,上市,31.3,46.8,24.5,食品工業,洪堯昆
629,4549,桓達,上櫃,3.7,46.8,0.5,電機機械,吳清德
630,8383,千附,上櫃,11.8,46.6,10.7,其他電子業,張瓊如
631,9944,新麗,上市,10.6,46.6,12.7,其他業,簡瑞瑞
