代號,名稱,持股資料月份,全體董監持股(%),全體董監質押(%)
4113,聯上,15M04,11.9%,39%
2331,精英,15M04,39.9%,0%
4930,燦星網,15M04,44.4%,27%
6023,元大期,15M04,68.7%,0%
5508,永信建,15M04,41.7%,0%
6219,富旺,15M04,30.8%,0%
5015,華祺,15M04,20.8%,5.41%
6177,達麗,15M04,12.8%,0%
3312,弘憶股,15M04,14.7%,0%
1808,潤隆,15M04,14.1%,0%
6431,F-光麗,15M04,47.5%,0%
2597,潤弘,15M04,55.5%,0%
6188,廣明,15M04,31.3%,0%
5464,霖宏,15M04,31.5%,0%
6186,新潤,15M04,19.1%,0%
5514,三豐,15M04,19.3%,0%
4542,科嶠,15M03,16%,0%
2104,中橡,15M04,15.1%,2.41%
3666,光耀,15M04,47.7%,0%
3056,總太,15M04,28.9%,0%
5522,遠雄,15M04,15.6%,48.9%
2493,揚博,15M04,19.1%,0%
2545,皇翔,15M04,28.8%,0%
6298,崴強,15M04,33.7%,0%
2537,聯上發,15M04,27.3%,4.14%
5511,德昌,15M04,25.4%,0%
6168,宏齊,15M04,27.7%,0%
2227,裕日車,15M04,88.5%,0%
5603,陸海,15M04,17.4%,0%
5371,中光電,15M04,5.55%,11.5%
2489,瑞軒,15M04,6.92%,0%
2542,興富發,15M04,8.34%,7.13%
6265,方土昶,15M04,13.1%,32.3%
6292,迅德,15M04,45%,0%
5356,協益,15M04,11.6%,11.2%
3032,偉訓,15M04,31.4%,27%
2107,厚生,15M04,6.18%,13.7%
2841,台開,15M04,6.48%,20.7%
2024,志聯,15M04,24%,0%
1715,萬洲,15M04,45.3%,1.09%
2890,永豐金,15M04,4.88%,0%
2546,根基,15M04,35.4%,0%
2377,微星,15M04,16.4%,0%
6136,富爾特,15M04,13.8%,5.88%
3028,增你強,15M04,12.4%,0%
3209,全科,15M04,18.1%,0%
6203,海韻電,15M04,34.2%,0%
3036,文曄,15M04,9.02%,0%
2402,毅嘉,15M04,9.93%,0%
6189,豐藝,15M04,11.6%,3.61%
6143,振曜,15M04,22.1%,0%
6241,易通展,15M04,50.3%,0%
2845,遠東銀,15M04,8.08%,0%
5276,F-達輝,15M04,0%,0%
2064,晉椿,15M04,15.7%,0%
9912,偉聯,15M04,8.43%,0%
3033,威健,15M04,14.2%,0%
3315,宣昶,15M04,26.5%,0%
2596,綠意,15M04,44.9%,0%
5487,通泰,15M04,17.9%,0%
1229,聯華,15M04,25.6%,7.28%
5410,國眾,15M04,11.4%,0%
6115,鎰勝,15M04,12.3%,0%
2302,麗正,15M04,30.2%,0%
8271,宇瞻,15M04,9.3%,0%
6185,幃翔,15M04,21.7%,0%
2812,台中銀,15M04,7.3%,6%
2034,允強,15M04,16.4%,0%
2437,旺詮,15M04,26.6%,50.9%
2915,潤泰全,15M04,13.7%,26%
2547,日勝生,15M04,19%,43.6%
3587,閎康,15M04,28.6%,0%
3217,優群,15M04,15.5%,0%
2520,冠德,15M04,19.7%,0%
1442,名軒,15M04,7.54%,0%
5203,訊連,15M04,10.6%,0%
6261,久元,15M04,12.3%,0%
8088,品安,15M04,38.2%,0%
2539,櫻花建,15M04,22.6%,0%
5525,順天,15M04,22.8%,0%
2838,聯邦銀,15M04,22.2%,0%
3291,遠翔科,15M04,16%,0%
9945,潤泰新,15M04,26%,38.3%
3299,帛漢,15M04,19.1%,0%
3048,益登,15M04,20.6%,0%
8401,白紗科,15M04,22.4%,0%
3531,先益,15M04,27.3%,0%
2356,英業達,15M04,15.8%,0%
1541,錩泰,15M04,38.7%,0%
2030,彰源,15M04,22.5%,30.5%
3623,富晶通,15M04,44.4%,0%
5820,日盛金,15M04,59.5%,0%
2458,義隆,15M04,6.47%,13.7%
5251,天鉞電,15M04,23.9%,0%
6128,上福,15M04,30.2%,2.72%
3057,喬鼎,15M04,6.25%,0%
8099,大世科,15M04,53.6%,0%
2376,技嘉,15M04,11.9%,45%
8213,志超,15M04,6.67%,3.31%
5438,東友,15M04,22.7%,17.9%
6196,帆宣,15M04,20.4%,0%
3679,新至陞,15M04,14.2%,0%
2477,美隆電,15M04,27.5%,4.56%
2535,達欣工,15M04,12.3%,19.8%
6214,精誠,15M04,9.95%,0.5%
2471,資通,15M04,14.8%,0%
3078,僑威,15M04,20.4%,0%
8916,光隆,15M04,21.8%,14.8%
3598,奕力,15M04,7.47%,5.58%
6257,矽格,15M04,6.61%,8.33%
2347,聯強,15M04,19.3%,11.2%
3026,禾伸堂,15M04,10.9%,0%
8249,菱光,15M04,25.9%,18.7%
2536,宏普,15M04,31.6%,0%
6216,居易,15M04,21.4%,0%
2439,美律,15M04,10.4%,0%
2834,臺企銀,15M04,21.9%,0%
5489,彩富,15M04,34.5%,0%
8081,致新,15M04,9.19%,16.4%
5243,F-乙盛,15M03,37.6%,7.35%
4960,奇美材,15M04,30.3%,0%
2488,漢平,15M04,12.7%,9.72%
3090,日電貿,15M04,7.49%,0%
5201,凱衛,15M04,22.2%,22%
5225,F-東科,15M04,4.57%,16.3%
1604,聲寶,15M04,7.61%,0%
2637,F-慧洋,15M04,37.3%,16.5%
1582,信錦,15M04,13.2%,0%
2365,昆盈,15M04,10.5%,27.8%
2420,新巨,15M04,27.6%,23.4%
3297,杭特,15M04,19.7%,0%
2847,大眾銀,15M04,16.6%,6.24%
6205,詮欣,15M04,16.4%,0%
3438,類比科,15M04,10.4%,0%
3527,聚積,15M04,12.8%,0%
4908,前鼎,15M04,14.7%,0%
1215,卜蜂,15M04,16.3%,0%
8112,至上,15M04,6%,10.4%
2904,匯僑,15M04,42.6%,0%
3689,湧德,15M04,8.35%,0%
5471,松翰,15M04,10.6%,30.9%
1527,鑽全,15M04,18.2%,0%
5016,松和,15M04,36.5%,0%
3563,牧德,15M04,16.6%,0%
2548,華固,15M04,15.8%,0%
8032,光菱,15M04,64.4%,2.99%
5519,隆大,15M04,31%,43.2%
2404,漢唐,15M04,12%,0%
3040,遠見,15M04,31.7%,0%
2867,三商壽,15M04,48.5%,30.5%
2527,宏璟,15M04,27.7%,8.17%
1909,榮成,15M04,31.9%,8.41%
2892,第一金,15M04,21.2%,0.06%
2891,中信金,15M04,1.09%,68.4%
2467,志聖,15M04,4.67%,0%
5439,高技,15M04,14.6%,0%
4984,F-科納,15M04,23%,0%
4999,鑫禾,15M04,33.1%,0%
3211,順達,15M04,7.46%,0%
3388,崇越電,15M04,34.8%,0%
5538,F-東明,15M04,44.8%,0%
3272,東碩,15M04,46.1%,0%
2109,華豐,15M04,8.38%,28.6%
4952,凌通,15M04,35.5%,0%
6195,詩肯,15M04,34.6%,0%
5291,邑昇,15M04,24.2%,0%
2345,智邦,15M04,4.68%,29.2%
5215,F-科嘉,15M04,10%,0%
3360,尚立,15M04,15.5%,0%
2480,敦陽科,15M04,12.4%,0%
3305,昇貿,15M04,18.1%,4.55%
5493,三聯,15M04,20.9%,8.07%
2851,中再保,15M04,57.5%,0%
3617,碩天,15M04,19.5%,0%
6290,良維,15M04,10.1%,0%
6266,泰詠,15M04,10.8%,0%
2433,互盛電,15M04,67.8%,20.9%
3416,融程電,15M04,26.8%,0%
6201,亞弘電,15M04,46.1%,0%
1787,福盈科,15M04,15.5%,0%
6271,同欣電,15M04,11.4%,0.8%
3540,曜越,15M04,20.2%,0%
5531,鄉林,15M04,29.3%,0%
8079,誠遠,15M04,11.7%,0%
1451,年興,15M04,29.3%,26.4%
5425,台半,15M04,6.89%,0%
3390,旭軟,15M04,20.7%,0%
8410,森田,15M04,22.8%,0%
3596,智易,15M04,22.4%,0%
5534,長虹,15M04,10%,67.4%
8426,F-紅木,15M04,62.5%,0%
2451,創見,15M04,16.8%,2.63%
5426,振發,15M04,16%,0%
6105,瑞傳,15M04,8.95%,0%
8109,博大,15M04,23.4%,0%
8039,台虹,15M04,10%,28.2%
3167,大量,15M04,14.7%,0%
8210,勤誠,15M04,13.8%,0%
2889,國票金,15M04,6.54%,0%
5349,先豐,15M04,19.2%,0%
2880,華南金,15M04,25.3%,0.04%
2449,京元電,15M04,4.55%,0%
4305,世坤,15M04,30.6%,0%
8042,金山電,15M04,13.4%,0%
6138,茂達,15M04,11.6%,17.6%
2327,國巨,15M04,7.75%,58.6%
1540,喬福,15M04,24.3%,0%
2441,超豐,15M04,47.6%,0%
5434,崇越,15M04,7.38%,1.24%
6207,雷科,15M04,10.3%,38.6%
9905,大華,15M04,8.95%,0%
2615,萬海,15M04,4.81%,5.81%
2511,太子,15M04,26.1%,1.11%
3550,聯穎,15M04,11.2%,0%
4973,廣穎,15M04,17.1%,1.97%
5480,統盟,15M04,44.7%,0%
9943,好樂迪,15M04,14.6%,4.32%
2379,瑞昱,15M04,5.46%,0%
6112,聚碩,15M04,13.5%,0%
2538,基泰,15M04,5.73%,13.9%
6277,宏正,15M04,11.7%,7.16%
9927,泰銘,15M04,26.2%,0%
3338,泰碩,15M04,22.3%,0%
3030,德律,15M04,19.1%,0%
1436,華友聯,15M04,26.4%,22.1%
4527,方土霖,15M04,40%,0%
4995,晶達,15M04,27.2%,0%
6024,群益期,15M04,59.9%,0%
8103,瀚荃,15M04,11%,0%
3332,幸康,15M04,54.2%,0%
4506,崇友,15M04,57.6%,25.8%
3221,台嘉碩,15M04,11%,0%
2375,智寶,15M04,18.1%,4.16%
4703,揚華,15M04,11.7%,0%
6202,盛群,15M04,11.7%,0%
6405,悅城,15M04,16.1%,0%
9941,裕融,15M04,52.3%,0%
3515,華擎,15M04,49.7%,0%
1232,大統益,15M04,66.4%,0%
3702,大聯大,15M04,10.4%,14.7%
4532,瑞智,15M04,41.8%,0%
6104,創惟,15M04,8.98%,0%
3653,健策,15M04,29.4%,11.8%
4972,湯石,15M04,17%,0%
6154,順發,15M04,20.1%,0.08%
1560,中砂,15M04,13.6%,0%
6108,競國,15M04,13.5%,0%
2884,玉山金,15M04,3.51%,20.2%
4977,F-眾達,15M04,27.7%,0%
1595,川寶,15M04,17.1%,0%
8435,鉅邁,15M04,15.4%,0%
2459,敦吉,15M04,25.1%,0%
3055,蔚華科,15M04,11.9%,0%
6274,台燿,15M04,13.3%,0%
4987,科誠,15M04,14.6%,0%
6210,慶生,15M04,19.4%,0%
3356,奇偶,15M04,14.6%,0%
8054,安國,15M04,13.7%,5.07%
3034,聯詠,15M04,4.59%,0%
5213,亞昕,15M04,41.6%,43.8%
4706,大恭,15M04,45.7%,9.68%
3257,虹冠電,15M04,9.51%,11%
1535,中宇,15M04,68.7%,0%
6508,惠光,15M04,28.9%,0%
6174,安碁,15M04,31.8%,0%
2483,百容,15M04,18.4%,0%
2426,鼎元,15M04,8.83%,6.79%
2636,台驊,15M04,19.6%,32.7%
3528,安馳,15M04,20.9%,0%
3042,晶技,15M04,6.96%,2.55%
2616,山隆,15M04,32.8%,4.57%
3556,禾瑞亞,15M04,12.3%,0%
6609,瀧澤科,15M04,45.6%,0%
2906,高林,15M04,34.4%,0%
3144,新揚科,15M04,61.4%,0%
6123,上奇,15M04,23%,3.16%
6164,華興,15M04,8.97%,0%
6281,全國電,15M04,14.1%,7.16%
2856,元富證,15M04,39.3%,4.43%
5880,合庫金,15M04,32.3%,0%
2362,藍天,15M04,10%,23.8%
3231,緯創,15M04,1.4%,0%
2015,豐興,15M04,19.4%,3.9%
3264,欣銓,15M03,14.8%,0%
4720,德淵,15M04,30.8%,14.5%
2820,華票,15M04,28.5%,0%
8064,東捷,15M04,10.4%,0%
3006,晶豪科,15M04,6.09%,0%
2421,建準,15M04,10.1%,22.6%
6197,佳必琪,15M04,17.2%,0%
5878,台名,15M04,38.3%,0%
1464,得力,15M04,22.4%,27.1%
2414,精技,15M04,18.6%,28.8%
4974,亞泰,15M04,31.5%,0%
3010,華立,15M04,12.7%,0%
4510,高鋒,15M04,18.3%,55.6%
8155,博智,15M04,27.2%,0%
2325,矽品,15M04,4.81%,0%
3213,茂訊,15M04,10.7%,0%
5011,久陽,15M04,25.6%,0%
2324,仁寶,15M03,6.54%,2.89%
3479,安勤,15M04,17.2%,0%
1101,台泥,15M04,12%,20.2%
3005,神基,15M04,34.3%,0%
6282,康舒,15M04,24.2%,0%
1599,宏佳騰,15M04,16.7%,0%
5443,均豪,15M04,17.6%,0%
2415,錩新,15M04,14.3%,21.1%
3537,堡達,15M04,18.1%,0%
6227,茂綸,15M04,60.1%,0%
3628,盈正,15M04,61.1%,4.72%
2476,鉅祥,15M04,11.4%,0%
2027,大成鋼,15M04,9.22%,49.2%
2393,億光,15M04,7.86%,2.06%
5533,皇鼎,15M04,27.8%,11.2%
3684,榮昌,15M04,43.9%,0%
8131,福懋科,15M04,66.3%,0%
5608,四維航,15M04,12.8%,0%
2063,世鎧,15M04,26%,19.9%
6263,普萊德,15M04,39.4%,0%
6155,鈞寶,15M04,25.1%,0%
1612,宏泰,15M04,12.4%,0%
2020,美亞,15M04,15.9%,94.9%
2340,光磊,15M04,8.39%,0%
8926,台汽電,15M04,40.7%,0%
9911,櫻花,15M04,9.82%,7.12%
3014,聯陽,15M04,10.6%,0%
4736,泰博,15M04,26.5%,27.2%
6151,晉倫,15M04,13.6%,10%
3492,長盛,15M04,48.1%,0%
5460,同協,15M04,14.8%,0%
3260,威剛,15M04,11.3%,27%
3118,進階,15M04,25.1%,0%
3266,昇陽,15M04,14.8%,0%
8043,蜜望實,15M04,30.1%,0%
3021,鴻名,15M04,17.6%,11.7%
3002,歐格,15M04,19%,0%
8050,廣積,15M04,3.58%,0%
3607,谷崧,15M04,13.2%,0%
1102,亞泥,15M04,29.3%,4.5%
3379,彬台,15M04,31.3%,0%
4103,百略,15M04,36.1%,0%
2397,友通,15M04,23.2%,0%
6109,亞元,15M04,14%,0%
1773,勝一,15M04,50.6%,0%
4721,美琪瑪,15M04,19.3%,0%
3354,律勝,15M04,28.4%,7.86%
6208,日揚,15M04,13.2%,0%
1530,亞崴,15M04,56.1%,0%
5285,界霖,15M04,35.2%,0%
2367,燿華,15M04,8.09%,22.9%
1323,永裕,15M04,15.6%,0%
3265,台星科,15M04,52.3%,0%
1723,中碳,15M04,34.9%,0%
2031,新光鋼,15M04,11.3%,30.1%
2373,震旦行,15M04,61%,27.5%
8443,阿瘦,15M04,33.6%,0%
3052,夆典,15M04,16%,0%
1712,興農,15M04,6.64%,6.58%
3646,艾恩特,15M04,10.8%,0%
2351,順德,15M04,9.14%,0%
2385,群光,15M04,17.8%,26.8%
6412,群電,15M04,50.7%,0%
2006,東鋼,15M04,14.2%,0%
1465,偉全,15M04,22.6%,0%
2501,國建,15M04,20.2%,0%
8905,裕國,15M04,29.4%,0%
3551,世禾,15M04,16.8%,0%
1513,中興電,15M04,9.53%,44.4%
2464,盟立,15M04,13.3%,4.58%
3454,晶睿,15M04,21.8%,0%
3501,維熹,15M04,23.8%,0%
2357,華碩,15M04,5.29%,0%
2359,所羅門,15M04,18.6%,8.79%
6005,群益證,15M04,4.86%,0%
8091,翔名,15M04,20.1%,0%
6224,聚鼎,15M04,27.8%,2.87%
6229,研通,15M04,23.8%,0%
4927,F-泰鼎,15M04,2.28%,19.1%
6422,F-君耀,15M04,38.1%,0%
6130,基因,15M04,45.7%,0%
8424,惠普,15M04,51.9%,58.8%
2023,燁輝,15M04,7.5%,28%
5272,笙科,15M04,8.99%,0%
5347,世界,15M04,50%,0%
3023,信邦,15M04,6.84%,13.4%
4912,F-聯德,15M04,44.1%,0%
1717,長興,15M04,18.3%,24.2%
1727,中華化,15M04,18.4%,0%
2908,特力,15M04,20.3%,21.4%
4550,長佳,15M04,45.6%,0%
6221,晉泰,15M04,17.7%,0%
2472,立隆電,15M04,25.7%,4.65%
8150,南茂,15M04,61%,0%
3588,通嘉,15M04,12.6%,0%
2916,滿心,15M04,39.2%,31.2%
6803,崑鼎,15M04,60.4%,0%
2029,盛餘,15M04,65.8%,0%
5234,達興,15M04,47.1%,0%
4933,友輝,15M04,49.6%,0%
4953,緯軟,15M04,38.2%,0%
8182,加高,15M04,56%,1.66%
5907,F-大洋,15M04,48.7%,3.55%
2454,聯發科,15M04,5.29%,0%
3672,康聯訊,15M04,45.4%,0%
9930,中聯資,15M04,70.4%,2.39%
2067,嘉鋼,15M04,36%,24.4%
3380,明泰,15M04,33.8%,0%
4144,F-康聯,15M04,0%,0%
1108,幸福,15M04,8.56%,35.9%
3559,全智科,15M04,20%,0%
6206,飛捷,15M04,12.7%,0%
3088,艾訊,15M04,27.6%,0%
5013,強新,15M04,16.3%,0%
4916,事欣科,15M04,12.1%,0%
6278,台表科,15M04,7.22%,0%
1558,伸興,15M04,12.9%,0%
1473,台南,15M04,14.2%,9.09%
2640,大車隊,15M04,37.3%,21.4%
2338,光罩,15M04,19.8%,8.54%
3047,訊舟,15M04,6.36%,0%
5469,瀚宇博,15M04,26.6%,0%
3045,台灣大,15M04,6.03%,0%
6148,驊宏資,15M04,24.5%,0%
3541,西柏,15M04,15.8%,0%
8289,泰藝,15M04,14.2%,0%
1340,F-勝悅,15M04,0%,0%
1522,堤維西,15M04,11.7%,12%
2885,元大金,15M04,4.69%,25.3%
3311,閎暉,15M04,32.1%,0%
2301,光寶科,15M04,8.3%,0%
3029,零壹,15M04,28.3%,13%
4904,遠傳,15M04,33.7%,3.92%
2233,宇隆,15M04,11.5%,0%
1730,花仙子,15M04,26.3%,0%
2886,兆豐金,15M04,20.3%,0%
2316,楠梓電,15M04,12.2%,0%
1788,杏昌,15M04,23.9%,0%
2836,高雄銀,15M04,50.3%,9.93%
2462,良得電,15M04,11.1%,9.37%
2809,京城銀,15M04,3.28%,40.6%
1236,宏亞,15M04,24.6%,15.5%
6192,巨路,15M04,8.77%,5.49%
2888,新光金,15M04,9.68%,41.8%
8921,沈氏,15M04,45.3%,0%
2606,裕民,15M04,40.4%,15.6%
1593,祺驊,15M04,16.5%,0%
3114,好德,15M04,20.8%,0%
4104,佳醫,15M04,16.7%,0%
2613,中櫃,15M04,37.3%,0%
2382,廣達,15M04,28.7%,0%
2734,易飛網,15M04,48.5%,0%
3466,致振,15M04,15.1%,0%
8383,千附,15M04,19.2%,0%
5609,中菲行,15M04,17.2%,13.5%
3236,千如,15M04,10.3%,0%
4939,亞電,15M04,6.84%,7.34%
2455,全新,15M04,8.21%,26.9%
2106,建大,15M04,26.1%,5.76%
6215,和椿,15M04,19.4%,37%
1264,德麥,15M04,22.7%,0%
4535,至興,15M04,40.3%,0%
2509,全坤建,15M04,21.9%,0%
6213,聯茂,15M04,14.2%,0%
3553,力積,15M04,12%,0%
3131,弘塑,15M04,28.4%,0%
2423,固緯,15M04,32.8%,16.1%
1735,日勝化,15M04,46.4%,0%
2883,開發金,15M03,5.67%,73.7%
2801,彰銀,15M04,34.7%,0%
2485,兆赫,15M04,12.1%,0%
3491,昇達科,15M04,9.44%,0%
2066,世德,15M04,62.4%,0%
4722,國精化,15M04,11.9%,0%
5520,力泰,15M04,49.3%,0%
8234,新漢,15M04,9.22%,0%
8255,朋程,15M04,16.3%,0%
1733,五鼎,15M04,10.9%,0%
6217,中探針,15M04,37.5%,0%
6176,瑞儀,15M04,4.33%,0%
6121,新普,15M04,6.11%,0%
5209,新鼎,15M04,50%,0%
2230,泰茂,15M04,24.7%,0%
4942,嘉彰,15M04,14.7%,0%
2486,一詮,15M04,18.5%,0%
3567,逸昌,15M04,9.87%,0%
2412,中華電,15M04,35.3%,0%
4947,F-昂寶,15M04,31.9%,0%
5014,建錩,15M04,15.3%,29.6%
6452,F-康友,15M04,40.2%,0%
3581,博磊,15M03,15.6%,0%
9924,福興,15M04,8.98%,0%
2428,興勤,15M04,22.2%,14.1%
3044,健鼎,15M04,5.38%,0%
8074,鉅橡,15M04,10.9%,0%
3322,建舜電,15M04,19.6%,4.39%
4432,銘旺實,15M04,47.1%,0%
6218,豪勉,15M04,15.9%,0%
8215,明基材,15M04,40.6%,0%
1580,新麥,15M04,13.3%,0%
8923,時報,15M04,57.5%,13.7%
1708,東鹼,15M04,16.5%,3.48%
3444,利機,15M04,19.7%,0%
6603,富強鑫,15M04,23.3%,0%
2114,鑫永銓,15M04,19.3%,0%
2484,希華,15M04,9.72%,0%
1447,力鵬,15M04,19.6%,0%
3022,威強電,15M04,25.9%,3.52%
8354,冠好,15M04,18.4%,0%
5604,中連貨,15M04,11.2%,0%
1514,亞力,15M04,15.7%,2.75%
2881,富邦金,15M04,21.5%,0%
6120,達運,15M04,32.9%,3.83%
5388,中磊,15M04,5.7%,29.4%
4119,旭富,15M04,36.2%,0%
6239,力成,15M04,5.61%,57.2%
3323,加百裕,15M04,9.22%,30.7%
5288,F-豐祥,15M04,59.8%,0%
5289,宜鼎,15M04,16.3%,0%
5007,三星,15M04,8.54%,13.1%
2855,統一證,15M04,8.05%,0%
4138,曜亞,15M04,38.5%,0%
3362,先進光,15M04,22.7%,0%
3169,亞信,15M04,12.5%,0%
6449,鈺邦,15M04,22.3%,0%
4747,強生,15M04,26.4%,0%
9950,萬國通,15M04,27.3%,21.2%
1410,南染,15M04,18.5%,0%
1817,凱撒衛,15M04,17.3%,0%
2311,日月光,15M04,19.8%,21.3%
6223,旺矽,15M04,20.3%,0%
8240,華宏,15M04,31.3%,0%
2062,橋椿,15M04,18.4%,0%
9925,新保,15M04,23.4%,26.1%
5483,中美晶,15M04,6.58%,0%
1233,天仁,15M04,15.9%,20%
5102,富強,15M04,45%,0%
4533,協易機,15M04,10.5%,0%
2816,旺旺保,15M04,24.4%,0%
8021,尖點,15M04,10.4%,5.45%
6451,F-訊芯,15M04,60.7%,0%
6161,捷波,15M04,25.6%,0%
3526,凡甲,15M04,7.62%,1.37%
2929,F-淘帝,15M04,0%,0%
1521,大億,15M04,35.2%,0%
8928,鉅明,15M04,20.5%,0%
4938,和碩,15M04,5.9%,0%
6220,岳豐,15M04,18.9%,0%
6276,安鈦克,15M04,31.9%,0%
4935,F-茂林,15M04,16.6%,0%
9917,中保,15M04,35.3%,7.45%
9951,皇田,15M04,23.6%,19.2%
8936,國統,15M04,12.2%,0%
2823,中壽,15M04,2.4%,0%
4526,東台,15M04,13.3%,9.29%
8404,F-百和,15M04,51.6%,0%
3705,永信,15M04,17.7%,12.9%
8908,欣雄,15M04,70.4%,19.4%
3306,鼎天,15M04,36.9%,0%
2383,台光電,15M04,10.3%,0%
2453,凌群,15M04,25.4%,0%
6245,立端,15M04,14%,0%
8114,振樺電,15M04,12.8%,0%
6230,超眾,15M04,11.8%,0%
2103,台橡,15M04,13.9%,10.5%
1583,程泰,15M04,56.1%,0%
1507,永大,15M04,12.5%,5.82%
1709,和益,15M04,21.4%,0.65%
2926,誠品生,15M04,53%,9.33%
8016,矽創,15M04,8.01%,0%
5383,金利,15M04,36.6%,6.49%
5403,中菲,15M04,13.8%,0%
4909,新復興,15M04,7.48%,10.5%
4416,三圓,15M04,18.5%,0%
4745,F-合富,15M04,25%,25.6%
